"","document","topic","gamma","author","date","title","source","top_words"
"33","Donald Trump_158",1,9.53835346768e-05,"Donald Trump",2016-10-17,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Green Bay Wisconsin SD24","The Grammar Lab","police child justice community officer black violence"
"34","Donald Trump_159",1,8.88820518970967e-05,"Donald Trump",2016-10-18,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Grand Junction Colorado SD24","The Grammar Lab","police child justice community officer black violence"
"35","Donald Trump_160",1,0.0149411964190507,"Donald Trump",2016-10-21,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Newtown Pennsylvania 24","The Grammar Lab","police child justice community officer black violence"
"36","Donald Trump_161",1,9.74530789667943e-05,"Donald Trump",2016-10-21,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Fletcher North Carolina SD24","The Grammar Lab","police child justice community officer black violence"
"37","Donald Trump_162",1,0.00117606780252208,"Donald Trump",2016-10-21,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Johnstown Pennsylvania SD24","The Grammar Lab","police child justice community officer black violence"
"38","Donald Trump_163",1,6.95998662246026e-05,"Donald Trump",2016-10-31,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Grand Rapids Michigan","The Grammar Lab","police child justice community officer black violence"
"39","Donald Trump_164",1,0.000100356331590879,"Donald Trump",2016-11-01,"Donald Trump Republican presidential candidate delivers remarks at a campaign event Eau Claire Wisconsin","The Grammar Lab","police child justice community officer black violence"
"40","Donald Trump_165",1,0.00018936596895981,"Donald Trump",2016-11-01,"Donald Trump Republican presidential candidate delivers remarks at a campaign event Valley Forge Pennsylvania","The Grammar Lab","police child justice community officer black violence"
"41","Donald Trump_166",1,9.17743690882937e-05,"Donald Trump",2016-11-02,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Miami Florida SD24","The Grammar Lab","police child justice community officer black violence"
"42","Donald Trump_167",1,8.98700642327003e-05,"Donald Trump",2016-11-02,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Pensacola Florida 24","The Grammar Lab","police child justice community officer black violence"
"43","Donald Trump_168",1,0.00123161539230245,"Donald Trump",2016-11-02,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Orlando Florida SD24","The Grammar Lab","police child justice community officer black violence"
"44","Donald Trump_169",1,8.3267447820356e-05,"Donald Trump",2016-11-03,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Jacksonville Florida SD24","The Grammar Lab","police child justice community officer black violence"
"45","Donald Trump_170",1,9.04060391491862e-05,"Donald Trump",2016-11-03,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Concord North Carolina SD24","The Grammar Lab","police child justice community officer black violence"
"46","Donald Trump_171",1,9.20530206148465e-05,"Donald Trump",2016-11-04,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Atkinson New Hampshire SD24","The Grammar Lab","police child justice community officer black violence"
