"","document","topic","gamma","author","date","title","source","top_words"
"30","Donald Trump_170",1,5.25871547814747e-05,"Donald Trump",2016-11-03,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Concord North Carolina SD24","The Grammar Lab","help life nuclear weapon war officer gun ally"
"31","Donald Trump_171",1,5.35451282701831e-05,"Donald Trump",2016-11-04,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Atkinson New Hampshire SD24","The Grammar Lab","help life nuclear weapon war officer gun ally"
"32","Donald Trump_172",1,5.37901001177852e-05,"Donald Trump",2016-11-04,"Donald Trump Republican Presidential Candidate deliver remarks at a campaign event in Hershey Pennsylvania 24","The Grammar Lab","help life nuclear weapon war officer gun ally"
"33","Donald Trump_173",1,4.28716372753108e-05,"Donald Trump",2016-11-04,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Wilmington Ohio SD24","The Grammar Lab","help life nuclear weapon war officer gun ally"
"34","Donald Trump_174",1,4.52069033252259e-05,"Donald Trump",2016-11-05,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Tampa Florida SD24","The Grammar Lab","help life nuclear weapon war officer gun ally"
"35","Donald Trump_175",1,5.72380157052412e-05,"Donald Trump",2016-11-05,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Reno Nevada 24","The Grammar Lab","help life nuclear weapon war officer gun ally"
"36","Donald Trump_176",1,6.62094918522907e-05,"Donald Trump",2016-11-06,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Sioux City Iowa SD24","The Grammar Lab","help life nuclear weapon war officer gun ally"
"37","Donald Trump_177",1,5.35045163973409e-05,"Donald Trump",2016-11-07,"Donald Trump Republican presidential candidate delivers remarks at a campaign event Sarasota Florida","The Grammar Lab","help life nuclear weapon war officer gun ally"
"38","Donald Trump_178",1,4.97675874749621e-05,"Donald Trump",2016-11-07,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Raleigh North Carolina SD24","The Grammar Lab","help life nuclear weapon war officer gun ally"
"39","Donald Trump_179",1,7.59791111875512e-05,"Donald Trump",2016-11-07,"Donald Trump Republican presidential candidate delivers remarks at a campaign event Scranton Pennsylvania","The Grammar Lab","help life nuclear weapon war officer gun ally"
"40","Donald Trump_180",1,6.46322953904939e-05,"Donald Trump",2016-11-07,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Manchester New Hampshire 24","The Grammar Lab","help life nuclear weapon war officer gun ally"
"41","Donald Trump_64",1,0.00019093696230888,"Donald Trump",2016-09-03,"Remarks at Great Faith International Ministries in Detroit, Michigan","UCSB","help life nuclear weapon war officer gun ally"
"42","Donald Trump_65",1,9.9153243309059e-05,"Donald Trump",2016-09-06,"Remarks at a Rally at the Greenville Convention Center in Greenville, North Carolina","UCSB","help life nuclear weapon war officer gun ally"
"43","Donald Trump_66",1,0.000781726807158433,"Donald Trump",2016-09-09,"Remarks to the 11th Annual Values Voter Summit in Washington, DC Omni Shoreham Hotel, Washington, D.C.","UCSB","help life nuclear weapon war officer gun ally"
"44","Donald Trump_67",1,0.0734288174062572,"Donald Trump",2016-09-09,"Remarks at a Rally at the Pensacola Bay Center in Pensacola, Florida","UCSB","help life nuclear weapon war officer gun ally"
"45","Donald Trump_68",1,0.00012497531711774,"Donald Trump",2016-09-12,"Remarks at the US Cellular Center in Asheville, North Carolina","UCSB","help life nuclear weapon war officer gun ally"
"46","Donald Trump_69",1,0.0321953134322483,"Donald Trump",2016-09-13,"Remarks at Seven Flags Event Center in Des Moines, Iowa","UCSB","help life nuclear weapon war officer gun ally"
"47","Donald Trump_70",1,0.000128621171359216,"Donald Trump",2016-09-14,"Remarks at a Rally at Canton Memorial Civic Center in Canton, Ohio","UCSB","help life nuclear weapon war officer gun ally"
"48","Donald Trump_71",1,6.45140792733697e-05,"Donald Trump",2016-09-15,"Remarks to the Economic Club of New York at the Waldorf Astoria in New York City","UCSB","help life nuclear weapon war officer gun ally"
"49","Donald Trump_72",1,0.000130283987199565,"Donald Trump",2016-09-16,"Remarks at a Rally at the James L. Knight Center in Miami, Florida","UCSB","help life nuclear weapon war officer gun ally"
"50","Donald Trump_73",1,0.00335876406366915,"Donald Trump",2016-09-20,"Remarks at High Point University in High Point, North Carolina","UCSB","help life nuclear weapon war officer gun ally"
"51","Donald Trump_74",1,0.00130163608416204,"Donald Trump",2016-09-22,"Remarks at a Rally at Sun Center Studios in Chester Township, Pennsylvania","UCSB","help life nuclear weapon war officer gun ally"
"52","Donald Trump_75",1,8.73647809439567e-05,"Donald Trump",2016-09-22,"Remarks at the Shale Insight TM Conferencee at the David L. Lawrence Convention Center in Pittsburgh, Pennsylvania","UCSB","help life nuclear weapon war officer gun ally"
"53","Donald Trump_76",1,9.42516183789057e-05,"Donald Trump",2016-09-30,"Remarks at the Suburban Collection Showplace in Novi, Michigan","UCSB","help life nuclear weapon war officer gun ally"
"54","Donald Trump_77",1,0.000173130048088816,"Donald Trump",2016-10-03,"Remarks at the Budweiser Events Center in Loveland, Colorado","UCSB","help life nuclear weapon war officer gun ally"
"55","Donald Trump_78",1,0.0261434451316108,"Donald Trump",2016-10-04,"Remarks at Prescott Valley Event Center in Prescott Valley, Arizona","UCSB","help life nuclear weapon war officer gun ally"
"56","Donald Trump_79",1,0.0494564745825087,"Donald Trump",2016-10-05,"Remarks at the Reno-Sparks Convention Center in Reno, Nevada","UCSB","help life nuclear weapon war officer gun ally"
"57","Donald Trump_80",1,0.000203026450728528,"Donald Trump",2016-10-11,"Excerpts of Remarks at Aaron Bessant Park in Panama City, Florida","UCSB","help life nuclear weapon war officer gun ally"
"58","Donald Trump_81",1,3.69636062787075e-05,"Donald Trump",2016-10-12,"Remarks at the Southeastern Livestock Pavilion in Ocala, Florida","UCSB","help life nuclear weapon war officer gun ally"
"59","Donald Trump_82",1,0.0054982340343761,"Donald Trump",2016-10-13,"Remarks at the Renaissance Hotel in Columbus, Ohio","UCSB","help life nuclear weapon war officer gun ally"
"60","Donald Trump_83",1,0.000101580460473071,"Donald Trump",2016-10-15,"Remarks at the Cross Insurance Center in Bangor, Maine","UCSB","help life nuclear weapon war officer gun ally"
"61","Donald Trump_84",1,0.000122799790089324,"Donald Trump",2016-10-15,"Remarks at Toyota of Portsmouth in Portsmouth, New Hampshire","UCSB","help life nuclear weapon war officer gun ally"
"62","Donald Trump_85",1,9.97138587435514e-05,"Donald Trump",2016-10-17,"Remarks at the KI Convention Center in Green Bay, Wisconsin","UCSB","help life nuclear weapon war officer gun ally"
"63","Donald Trump_86",1,5.63690128345313e-05,"Donald Trump",2016-10-18,"Remarks at the Norris-Penrose Event Center in Colorado Springs, Colorado","UCSB","help life nuclear weapon war officer gun ally"
"64","Donald Trump_87",1,0.00322283673589528,"Donald Trump",2016-10-20,"Remarks at the Delaware County Fairgrounds in Delaware, Ohio","UCSB","help life nuclear weapon war officer gun ally"
"65","Donald Trump_88",1,0.000125867265345183,"Donald Trump",2016-10-21,"Remarks at the WNC Agricultural Center's Davis Event Center in Fletcher, North Carolina","UCSB","help life nuclear weapon war officer gun ally"
"66","Donald Trump_89",1,0.000120698708777461,"Donald Trump",2016-10-21,"Remarks at the Newtown Athletic Club Sports Training Center in Newtown, Pennsylvania","UCSB","help life nuclear weapon war officer gun ally"
"67","Donald Trump_90",1,5.23918754701042e-05,"Donald Trump",2016-10-22,"Remarks on Proposals for the First 100 Days in Office at the Eisenhower Complex in Gettysburg, Pennsylvania","UCSB","help life nuclear weapon war officer gun ally"
"68","Donald Trump_91",1,0.0771028559893858,"Donald Trump",2016-10-23,"Remarks at the Collier County Fairgrounds in Naples, Florida","UCSB","help life nuclear weapon war officer gun ally"
"69","Donald Trump_92",1,0.0322092007108196,"Donald Trump",2016-10-26,"Remarks at McGlohon Theatre at Spirit Square in Charlotte, North Carolina","UCSB","help life nuclear weapon war officer gun ally"
"70","Donald Trump_93",1,0.000261796084322801,"Donald Trump",2016-10-29,"Remarks at the Jeffco Fairgrounds Event Center in Golden, Colorado","UCSB","help life nuclear weapon war officer gun ally"
"71","Donald Trump_94",1,9.48854898942872e-05,"Donald Trump",2016-10-29,"Remarks at the Phoenix Convention Center in Phoenix, Arizona","UCSB","help life nuclear weapon war officer gun ally"
"72","Donald Trump_95",1,0.00268392874309402,"Donald Trump",2016-10-31,"Remarks at Macomb Community College South Campus in Warren, Michigan","UCSB","help life nuclear weapon war officer gun ally"
"73","Donald Trump_96",1,0.000111892216771411,"Donald Trump",2016-11-01,"Remarks on Obamacare in Valley Forge, Pennsylvania","UCSB","help life nuclear weapon war officer gun ally"
"74","Donald Trump_97",1,7.89554828310819e-05,"Donald Trump",2016-11-02,"Remarks at the Central Florida Fairgrounds in Orlando, Florida","UCSB","help life nuclear weapon war officer gun ally"
"75","Donald Trump_98",1,5.42034059569456e-05,"Donald Trump",2016-11-02,"Remarks at the Bayfront Park Amphitheater in Miami, Florida","UCSB","help life nuclear weapon war officer gun ally"
"76","Donald Trump_99",1,5.00856002689232e-05,"Donald Trump",2016-11-07,"Remarks at J.S Dorton Arena in Raleigh, North Carolina","UCSB","help life nuclear weapon war officer gun ally"
"77","Hillary Clinton_1",1,7.28409696319585e-05,"Hillary Clinton",2016-11-03,"Remarks alongside Alicia Machado in Dade City, FL","Clinton Official","help life nuclear weapon war officer gun ally"
"78","Hillary Clinton_107",1,0.0339638064509285,"Hillary Clinton",2016-09-05,"Hillary Rodham Clinton Democratic Presidential Candidate And Sen Tim Kaine Vice Presidential Candidate Deliver Remarks","The Grammar Lab","help life nuclear weapon war officer gun ally"
"79","Hillary Clinton_108",1,8.5771424699485e-05,"Hillary Clinton",2016-09-05,"Former Secretary Of State Hillary Rodham Clinton Democratic Presidential Candidate Delivers Remarks At The 49th Annual Salute To Labor","The Grammar Lab","help life nuclear weapon war officer gun ally"
"80","Hillary Clinton_109",1,0.0848537125752763,"Hillary Clinton",2016-09-06,"former Secretary of State Hillary Clinton Democratic presidential candidate delivers remarks at a campaign event","The Grammar Lab","help life nuclear weapon war officer gun ally"
"81","Hillary Clinton_110",1,0.16783276871036,"Hillary Clinton",2016-09-08,"former Secretary of State Hillary Rodham Clinton Democratic presidential candidate holds a news conference","The Grammar Lab","help life nuclear weapon war officer gun ally"
"82","Hillary Clinton_111",1,0.000179290320837088,"Hillary Clinton",2016-09-29,"Hillary Rodham Clinton Democratic Presidential Candidate holds a media availability","The Grammar Lab","help life nuclear weapon war officer gun ally"
"83","Hillary Clinton_112",1,0.754445819114892,"Hillary Clinton",2016-10-31,"Hillary Clinton Democratic Presidential Candidate delivers remarks at a campaign event in Kent Ohio","The Grammar Lab","help life nuclear weapon war officer gun ally"
"84","Hillary Clinton_113",1,0.651740778682494,"Hillary Clinton",2016-10-31,"Hillary Clinton delivers remarks at a campaign event in Cincinnati Ohio","The Grammar Lab","help life nuclear weapon war officer gun ally"
"85","Hillary Clinton_114",1,8.52531432793776e-05,"Hillary Clinton",2016-11-01,"Hillary Clinton Democratic presidential candidate delivers remarks at a campaign event Dade City Florida","The Grammar Lab","help life nuclear weapon war officer gun ally"
"86","Hillary Clinton_115",1,0.159657788360277,"Hillary Clinton",2016-11-01,"Hillary Clinton Democratic presidential candidate delivers remarks at a campaign event Fort Lauderdale Florida","The Grammar Lab","help life nuclear weapon war officer gun ally"
"87","Hillary Clinton_116",1,7.65562971761067e-05,"Hillary Clinton",2016-11-04,"Hillary Clinton Democratic Presidential Candidate delivers remarks at a campaign event in Pittsburgh Pennsylvania SD24","The Grammar Lab","help life nuclear weapon war officer gun ally"
"88","Hillary Clinton_117",1,8.07633615292797e-05,"Hillary Clinton",2016-11-04,"Hillary Clinton Democratic Presidential Candidate delivers remarks at a campaign event in Detroit Michigan 24","The Grammar Lab","help life nuclear weapon war officer gun ally"
"89","Hillary Clinton_118",1,0.000399770930003149,"Hillary Clinton",2016-11-05,"Hillary Clinton Democratic Presidential Candidate delivers remarks at a campaign event in South Florida SD24","The Grammar Lab","help life nuclear weapon war officer gun ally"
"90","Hillary Clinton_119",1,0.0398412638412778,"Hillary Clinton",2016-11-06,"Hillary Clinton Democratic Presidential Candidate delivers remarks at a campaign event in Manchester New Hampshire SD24","The Grammar Lab","help life nuclear weapon war officer gun ally"
"91","Hillary Clinton_120",1,0.0229363682468338,"Hillary Clinton",2016-11-06,"Hillary Clinton Democratic Presidential Candidate delivers remarks at a campaign event in Cleveland Ohio SD24","The Grammar Lab","help life nuclear weapon war officer gun ally"
"92","Hillary Clinton_121",1,0.00011443332428,"Hillary Clinton",2016-11-07,"Hillary Clinton Democratic presidential candidate delivers remarks at a campaign event Oakland Pennsylvania","The Grammar Lab","help life nuclear weapon war officer gun ally"
"93","Hillary Clinton_122",1,7.77373830718147e-05,"Hillary Clinton",2016-11-07,"Hillary Clinton Democratic presidential candidate delivers remarks at a campaign event Grand Rapids Michigan","The Grammar Lab","help life nuclear weapon war officer gun ally"
"94","Hillary Clinton_123",1,0.0291939842084433,"Hillary Clinton",2016-11-07,"Hillary Clinton Democratic Presidential Candidate delivers remarks at a campaign event in Philadelphia Pennsylvania SD24","The Grammar Lab","help life nuclear weapon war officer gun ally"
"95","Hillary Clinton_2",1,0.653165229531863,"Hillary Clinton",2016-11-01,"Remarks in Cincinnati on gun control and national security","Clinton Official","help life nuclear weapon war officer gun ally"
"96","Hillary Clinton_27",1,0.000111362306956812,"Hillary Clinton",2016-09-15,"Remarks at the University of North Carolina in Greensboro","UCSB","help life nuclear weapon war officer gun ally"
"97","Hillary Clinton_28",1,0.0177396681788091,"Hillary Clinton",2016-09-18,"Remarks to the Congressional Black Caucus in Washington, D.C.","UCSB","help life nuclear weapon war officer gun ally"
"98","Hillary Clinton_29",1,0.0551481403949517,"Hillary Clinton",2016-09-27,"Remarks at Wake Technical Community College in Raleigh, North Carolina","UCSB","help life nuclear weapon war officer gun ally"
"99","Hillary Clinton_30",1,0.0143742103229822,"Hillary Clinton",2016-09-28,"Remarks at the University of New Hampshire in Durham","UCSB","help life nuclear weapon war officer gun ally"
