"","author_speech_id","author","date","title","source"
"50","Hillary Clinton_54","Hillary Clinton",2016-11-07,"Remarks at the University of Pittsburgh","UCSB"
"51","Donald Trump_58","Donald Trump",2016-07-11,"Remarks in Virginia Beach, Virginia","UCSB"
"52","Donald Trump_59","Donald Trump",2016-07-16,"Remarks Introducing Governor Mike Pence as the 2016 Republican Vice Presidential Nominee in New York City","UCSB"
"53","Donald Trump_60","Donald Trump",2016-07-21,"Address Accepting the Presidential Nomination at the Republican National Convention in Cleveland, Ohio","UCSB"
"54","Donald Trump_61","Donald Trump",2016-08-09,"Remarks at a Rally at the University of North Carolina in Wilmington","UCSB"
"55","Donald Trump_62","Donald Trump",2016-08-23,"Remarks at Luedecke Arena in Austin, Texas","UCSB"
"56","Donald Trump_63","Donald Trump",2016-08-30,"Remarks at the XFinity Arena in Everett, Washington","UCSB"
"57","Donald Trump_64","Donald Trump",2016-09-03,"Remarks at Great Faith International Ministries in Detroit, Michigan","UCSB"
"58","Donald Trump_65","Donald Trump",2016-09-06,"Remarks at a Rally at the Greenville Convention Center in Greenville, North Carolina","UCSB"
"59","Donald Trump_66","Donald Trump",2016-09-09,"Remarks to the 11th Annual Values Voter Summit in Washington, DC Omni Shoreham Hotel, Washington, D.C.","UCSB"
"60","Donald Trump_67","Donald Trump",2016-09-09,"Remarks at a Rally at the Pensacola Bay Center in Pensacola, Florida","UCSB"
"61","Donald Trump_68","Donald Trump",2016-09-12,"Remarks at the US Cellular Center in Asheville, North Carolina","UCSB"
"62","Donald Trump_69","Donald Trump",2016-09-13,"Remarks at Seven Flags Event Center in Des Moines, Iowa","UCSB"
"63","Donald Trump_70","Donald Trump",2016-09-14,"Remarks at a Rally at Canton Memorial Civic Center in Canton, Ohio","UCSB"
"64","Donald Trump_71","Donald Trump",2016-09-15,"Remarks to the Economic Club of New York at the Waldorf Astoria in New York City","UCSB"
"65","Donald Trump_72","Donald Trump",2016-09-16,"Remarks at a Rally at the James L. Knight Center in Miami, Florida","UCSB"
"66","Donald Trump_73","Donald Trump",2016-09-20,"Remarks at High Point University in High Point, North Carolina","UCSB"
"67","Donald Trump_74","Donald Trump",2016-09-22,"Remarks at a Rally at Sun Center Studios in Chester Township, Pennsylvania","UCSB"
"68","Donald Trump_75","Donald Trump",2016-09-22,"Remarks at the Shale Insight TM Conferencee at the David L. Lawrence Convention Center in Pittsburgh, Pennsylvania","UCSB"
"69","Donald Trump_76","Donald Trump",2016-09-30,"Remarks at the Suburban Collection Showplace in Novi, Michigan","UCSB"
"70","Donald Trump_77","Donald Trump",2016-10-03,"Remarks at the Budweiser Events Center in Loveland, Colorado","UCSB"
"71","Donald Trump_78","Donald Trump",2016-10-04,"Remarks at Prescott Valley Event Center in Prescott Valley, Arizona","UCSB"
"72","Donald Trump_79","Donald Trump",2016-10-05,"Remarks at the Reno-Sparks Convention Center in Reno, Nevada","UCSB"
"73","Donald Trump_80","Donald Trump",2016-10-11,"Excerpts of Remarks at Aaron Bessant Park in Panama City, Florida","UCSB"
"74","Donald Trump_81","Donald Trump",2016-10-12,"Remarks at the Southeastern Livestock Pavilion in Ocala, Florida","UCSB"
"75","Donald Trump_82","Donald Trump",2016-10-13,"Remarks at the Renaissance Hotel in Columbus, Ohio","UCSB"
"76","Donald Trump_83","Donald Trump",2016-10-15,"Remarks at the Cross Insurance Center in Bangor, Maine","UCSB"
"77","Donald Trump_84","Donald Trump",2016-10-15,"Remarks at Toyota of Portsmouth in Portsmouth, New Hampshire","UCSB"
"78","Donald Trump_85","Donald Trump",2016-10-17,"Remarks at the KI Convention Center in Green Bay, Wisconsin","UCSB"
"79","Donald Trump_86","Donald Trump",2016-10-18,"Remarks at the Norris-Penrose Event Center in Colorado Springs, Colorado","UCSB"
"80","Donald Trump_87","Donald Trump",2016-10-20,"Remarks at the Delaware County Fairgrounds in Delaware, Ohio","UCSB"
"81","Donald Trump_88","Donald Trump",2016-10-21,"Remarks at the WNC Agricultural Center's Davis Event Center in Fletcher, North Carolina","UCSB"
"82","Donald Trump_89","Donald Trump",2016-10-21,"Remarks at the Newtown Athletic Club Sports Training Center in Newtown, Pennsylvania","UCSB"
"83","Donald Trump_90","Donald Trump",2016-10-22,"Remarks on Proposals for the First 100 Days in Office at the Eisenhower Complex in Gettysburg, Pennsylvania","UCSB"
